date,Population
1950-12-31 0:00:00,1407470
1951-12-31 0:00:00,1448396
1952-12-31 0:00:00,1482284
1953-12-31 0:00:00,1509993
1954-12-31 0:00:00,1533217
1955-12-31 0:00:00,1552883
1956-12-31 0:00:00,1570048
1957-12-31 0:00:00,1586411
1958-12-31 0:00:00,1603775
1959-12-31 0:00:00,1622047
1960-12-31 0:00:00,1642331
1961-12-31 0:00:00,1663754
1962-12-31 0:00:00,1683761
1963-12-31 0:00:00,1703868
1964-12-31 0:00:00,1725181
1965-12-31 0:00:00,1746977
1966-12-31 0:00:00,1768803
1967-12-31 0:00:00,1790580
1968-12-31 0:00:00,1812209
1969-12-31 0:00:00,1834615
1970-12-31 0:00:00,1859091
1971-12-31 0:00:00,1886143
1972-12-31 0:00:00,1915299
1973-12-31 0:00:00,1945320
1974-12-31 0:00:00,1974880
1975-12-31 0:00:00,2003094
1976-12-31 0:00:00,2029486
1977-12-31 0:00:00,2054927
1978-12-31 0:00:00,2080485
1979-12-31 0:00:00,2106937
1980-12-31 0:00:00,2135546
1981-12-31 0:00:00,2166657
1982-12-31 0:00:00,2199606
1983-12-31 0:00:00,2232782
1984-12-31 0:00:00,2264095
1985-12-31 0:00:00,2292030
1986-12-31 0:00:00,2315871
1987-12-31 0:00:00,2336245
1988-12-31 0:00:00,2354805
1989-12-31 0:00:00,2373365
1990-12-31 0:00:00,2392030
1991-12-31 0:00:00,2411867
1992-12-31 0:00:00,2434574
1993-12-31 0:00:00,2459062
1994-12-31 0:00:00,2484182
1995-12-31 0:00:00,2509372
1996-12-31 0:00:00,2532894
1997-12-31 0:00:00,2554954
1998-12-31 0:00:00,2576567
1999-12-31 0:00:00,2596271
2000-12-31 0:00:00,2612205
2001-12-31 0:00:00,2625405
2002-12-31 0:00:00,2638244
2003-12-31 0:00:00,2651027
2004-12-31 0:00:00,2664024
2005-12-31 0:00:00,2676863
2006-12-31 0:00:00,2689660
2007-12-31 0:00:00,2701221
2008-12-31 0:00:00,2711373
2009-12-31 0:00:00,2722401
2010-12-31 0:00:00,2733896
2011-12-31 0:00:00,2746169
2012-12-31 0:00:00,2759817
2013-12-31 0:00:00,2773129
2014-12-31 0:00:00,2784543
2015-12-31 0:00:00,2794445
2016-12-31 0:00:00,2802695
2017-12-31 0:00:00,2808376
2018-12-31 0:00:00,2811835
2019-12-31 0:00:00,2813773
2020-12-31 0:00:00,2820436
2021-12-31 0:00:00,2827695
2022-12-31 0:00:00,2827377
2023-12-31 0:00:00,2825544